iter	Logloss
0	0.6643047311
1	0.6428079471
2	0.6265608916
3	0.6110289862
4	0.5951378172
5	0.5854631535
6	0.5759513904
7	0.5681691741
8	0.5622524834
9	0.5555385239
10	0.5479258819
11	0.5421082085
12	0.5375753046
13	0.5333408434
14	0.5295293076
15	0.5259689168
16	0.5226636011
17	0.5199802377
18	0.5172430688
19	0.5156158636
20	0.5136107106
21	0.5116025106
22	0.5099997768
23	0.5085826392
24	0.5074454209
25	0.5063017882
26	0.5055002993
27	0.5038596749
28	0.5022816302
29	0.5014788658
30	0.500585125
31	0.499594304
32	0.4988498553
33	0.4983036942
34	0.4975843771
35	0.4968881037
36	0.4963420493
37	0.495542945
38	0.494807055
39	0.4940934325
40	0.4936901897
41	0.493270181
42	0.4928030819
43	0.4922833667
44	0.4917552418
45	0.4913914744
46	0.4910355619
47	0.4906396249
48	0.4902873709
49	0.4899334499
50	0.4892452795
51	0.488738547
52	0.4885084036
53	0.4882760824
54	0.4879890672
55	0.487776951
56	0.4874118769
57	0.4869557872
58	0.4867258664
59	0.4864673716
60	0.4860559124
61	0.4858314954
62	0.4855108698
63	0.4853137596
64	0.4850139365
65	0.4848206969
66	0.4844568609
67	0.484287485
68	0.4840997197
69	0.4838802477
70	0.4837168968
71	0.4834583152
72	0.4832269644
73	0.4830224343
74	0.4829092959
75	0.4827386881
76	0.4825829943
77	0.4824002702
78	0.4821777963
79	0.482008141
80	0.4818950012
81	0.4817566438
82	0.4816066167
83	0.481513672
84	0.4814348284
85	0.4812998568
86	0.4811835608
87	0.4810398675
88	0.4808793161
89	0.4807407909
90	0.4806148018
91	0.4803464
92	0.4802471837
93	0.4801804131
94	0.4800025493
95	0.4798727556
96	0.479759153
97	0.4796553303
98	0.4794858471
99	0.4793471414
100	0.4792360153
101	0.4791076894
102	0.4790172885
103	0.4788853702
104	0.4788018978
105	0.4786650394
106	0.4785673967
107	0.4784502282
108	0.4783179888
109	0.478250308
110	0.4780911336
111	0.477956684
112	0.4776680502
113	0.4775058146
114	0.4773773583
115	0.4772574277
116	0.4771188928
117	0.4769981879
118	0.4768547443
119	0.4767491311
120	0.476577591
121	0.4764934898
122	0.4763718234
123	0.4762972919
124	0.4761766226
125	0.4760739556
126	0.4759565255
127	0.4758581151
128	0.4757314664
129	0.4756490956
130	0.4755605759
131	0.47546012
132	0.4752769289
133	0.4752046854
134	0.4751136662
135	0.4750216002
136	0.4749264039
137	0.4747902456
138	0.4746979376
139	0.4746095358
140	0.4745062071
141	0.4744478597
142	0.4743806944
143	0.4743081361
144	0.4742073689
145	0.4740703744
146	0.4739008131
147	0.4737867431
148	0.4736414106
149	0.4735699805
150	0.4734798021
151	0.4734026476
152	0.4733083299
153	0.4731655863
154	0.4730357529
155	0.4729132338
156	0.472841429
157	0.4727490572
158	0.4726891673
159	0.4726276518
160	0.472546725
161	0.4724706868
162	0.4723687152
163	0.4722776244
164	0.4722086992
165	0.4721305625
166	0.4720362448
167	0.4719794158
168	0.4718996147
169	0.4717787581
170	0.4716541975
171	0.4715865116
172	0.4714750225
173	0.4713281144
174	0.4712787173
175	0.4712033256
176	0.4710546896
177	0.4709096787
178	0.470766628
179	0.4706998084
180	0.4705235655
181	0.4704199244
182	0.4703529239
183	0.4702456869
184	0.4701551158
185	0.4700731854
186	0.4699779715
187	0.4698969612
188	0.4698060856
189	0.4697271444
190	0.4696849148
191	0.4696238873
192	0.4695591074
193	0.4694823312
194	0.4694420318
195	0.4693290597
196	0.4692825257
197	0.4692380908
198	0.4692148943
199	0.4691645317
200	0.4691030307
201	0.4690360965
202	0.4689708065
203	0.4688779787
204	0.4687875485
205	0.4687121984
206	0.4686422054
207	0.4685896944
208	0.4685056095
209	0.4684397967
210	0.4683637047
211	0.4683097484
212	0.4682604608
213	0.4682166327
214	0.4681631405
215	0.4681070942
216	0.4680569192
217	0.4679439023
218	0.4679171191
219	0.4678514508
220	0.4677480079
221	0.4676824328
222	0.4676253841
223	0.4675284756
224	0.4674612451
225	0.467380918
226	0.4673366577
227	0.4672520207
228	0.4671813605
229	0.467143553
230	0.4670727382
231	0.4670481971
232	0.4670048291
233	0.4669415185
234	0.4668760141
235	0.4668372771
236	0.4667612516
237	0.4666895919
238	0.4666416951
239	0.4665760134
240	0.4665223207
241	0.4664775724
242	0.4664325923
243	0.4663427751
244	0.4662368892
245	0.4661945929
246	0.4661442401
247	0.4660748353
248	0.4659980758
249	0.4659285484
250	0.4658770009
251	0.4658320009
252	0.4657768755
253	0.465684275
254	0.4656447414
255	0.4655871537
256	0.4655587157
257	0.4654930284
258	0.4654628675
259	0.4654255664
260	0.4653805049
261	0.4653439119
262	0.4653112423
263	0.4652248534
264	0.4651844391
265	0.4651185704
266	0.4650704874
267	0.4650464322
268	0.4650445953
269	0.4649818001
270	0.4649365801
271	0.46493363
272	0.464880185
273	0.4648360054
274	0.4647658407
275	0.4647042492
276	0.4646646871
277	0.4645925375
278	0.4645306681
279	0.4645011206
280	0.4644441733
281	0.4643689547
282	0.4642592592
283	0.4641770858
284	0.4641376593
285	0.4641016835
286	0.4640555468
287	0.4640130821
288	0.4639403897
289	0.4638901059
290	0.463824988
291	0.4637447217
292	0.4637047364
293	0.4636540627
294	0.4636172555
295	0.4635933273
296	0.4635442407
297	0.4634957225
298	0.4634228214
299	0.463340577
300	0.4632943116
301	0.4632322147
302	0.4632111171
303	0.4631358463
304	0.4630917206
305	0.4630612062
306	0.4630246355
307	0.4630022249
308	0.4629332349
309	0.4629322051
310	0.462891194
311	0.4628326037
312	0.4627821312
313	0.4627420219
314	0.4626919576
315	0.4626382452
316	0.4625683513
317	0.4625074271
318	0.4624694818
319	0.4624277097
320	0.4623872263
321	0.4623173034
322	0.462286466
323	0.4622273142
324	0.4621566971
325	0.4621168762
326	0.4620456609
327	0.4620205842
328	0.4619862838
329	0.4619649078
330	0.4619160294
331	0.4618749349
332	0.4618231837
333	0.4618060514
334	0.4617742123
335	0.4617444499
336	0.4617045204
337	0.4616598838
338	0.4616251973
339	0.4615938005
340	0.4615632664
341	0.4614824416
342	0.4614381361
343	0.4614001894
344	0.4613724362
345	0.4613377232
346	0.4612930686
347	0.4612203005
348	0.4612064133
349	0.461132947
350	0.4610845437
351	0.4610448265
352	0.4609789746
353	0.4609267783
354	0.4608872997
355	0.4608373897
356	0.4607872177
357	0.4606857888
358	0.4606588406
359	0.460624148
360	0.4605714222
361	0.4605353719
362	0.4605200226
363	0.4604765645
364	0.4604244093
365	0.4603877896
366	0.4603620256
367	0.4603385045
368	0.4603011871
369	0.4602662174
370	0.4602113491
371	0.460167146
372	0.460136244
373	0.4600735459
374	0.4600410922
375	0.4600099418
376	0.4599855402
377	0.4599188379
378	0.4598846166
379	0.4598230183
380	0.4597884116
381	0.4597477014
382	0.4596995215
383	0.459652394
384	0.4596299901
385	0.4595866539
386	0.4595375332
387	0.4594835212
388	0.4594354081
389	0.459415246
390	0.4593879921
391	0.4593493914
392	0.4593208843
393	0.4592606288
394	0.4591696138
395	0.4591462386
396	0.4591071127
397	0.4590679373
398	0.4590100425
399	0.4589649884
400	0.4588882542
401	0.4588490172
402	0.4587976934
403	0.4587713802
404	0.4587515896
405	0.4586729773
406	0.4586457465
407	0.4586053577
408	0.4585624568
409	0.4585262617
410	0.4584764676
411	0.4584227986
412	0.458396631
413	0.4583539239
414	0.458344259
415	0.4582898216
416	0.4582686506
417	0.4582449049
418	0.4581792616
419	0.4581432118
420	0.4580887059
421	0.4580418952
422	0.4579980761
423	0.4579556959
424	0.4579100249
425	0.4578711734
426	0.4578260639
427	0.457791584
428	0.457741579
429	0.457692952
430	0.4576738034
431	0.4576484156
432	0.457619332
433	0.4575678863
434	0.4575565357
435	0.457524962
436	0.4574755683
437	0.4574528175
438	0.4573969288
439	0.4573379833
440	0.4572971039
441	0.4572823148
442	0.4572530237
443	0.4572075734
444	0.4571818944
445	0.457160216
446	0.457153853
447	0.4571002951
448	0.4570483706
449	0.457031568
450	0.4569939437
451	0.4569640474
452	0.4569187996
453	0.456867845
454	0.4568357105
455	0.4567786881
456	0.4567356142
457	0.456693635
458	0.4566720377
459	0.4566403979
460	0.4566040198
461	0.4565792134
462	0.4565461707
463	0.4565154208
464	0.4564451358
465	0.4564113774
466	0.4563879856
467	0.4563590723
468	0.4563040781
469	0.4562882307
470	0.4562484042
471	0.4562052164
472	0.4561645972
473	0.4561136758
474	0.4560774681
475	0.4560234426
476	0.4559819898
477	0.4559585453
478	0.4559145753
479	0.4558701658
480	0.4558687049
481	0.4558428909
482	0.4558056504
483	0.4557469381
484	0.45571533
485	0.4556783973
486	0.4556453001
487	0.4556372297
488	0.4556367308
489	0.4556154669
490	0.4555984269
491	0.4555638003
492	0.45552519
493	0.4554892738
494	0.4554567202
495	0.4554277579
496	0.4553916888
497	0.4553271471
498	0.4553080337
499	0.4552704076
500	0.4552541178
501	0.455233414
502	0.455203431
503	0.4551540654
504	0.4551276482
505	0.4551150091
