iter	Passed	Remaining
0	18	18116
1	37	18641
2	53	17651
3	65	16422
4	80	15923
5	104	17275
6	118	16792
7	131	16314
8	145	15966
9	159	15754
10	173	15563
11	186	15377
12	200	15193
13	215	15176
14	228	14991
15	242	14886
16	254	14742
17	268	14644
18	282	14598
19	296	14551
20	311	14513
21	347	15463
22	367	15611
23	382	15536
24	387	15131
25	399	14955
26	405	14622
27	412	14303
28	417	13993
29	423	13705
30	429	13432
31	435	13169
32	440	12916
33	448	12746
34	454	12535
35	460	12336
36	466	12150
37	473	11983
38	479	11815
39	485	11641
40	490	11477
41	496	11335
42	503	11211
43	511	11105
44	521	11068
45	533	11058
46	544	11032
47	555	11007
48	565	10967
49	571	10865
50	577	10752
51	583	10645
52	589	10537
53	595	10435
54	601	10334
55	606	10231
56	612	10139
57	618	10048
58	624	9956
59	630	9880
60	637	9808
61	643	9728
62	648	9652
63	655	9580
64	661	9509
65	667	9447
66	674	9390
67	680	9322
68	685	9254
69	692	9197
70	698	9138
71	704	9077
72	710	9022
73	717	8975
74	725	8944
75	733	8913
76	748	8971
77	760	8991
78	777	9059
79	796	9162
80	810	9201
81	829	9289
82	845	9340
83	865	9437
84	878	9459
85	922	9806
86	930	9769
87	943	9778
88	957	9798
89	971	9820
90	983	9824
91	1014	10016
92	1038	10126
93	1060	10220
94	1076	10259
95	1092	10289
96	1130	10521
97	1179	10854
98	1227	11170
99	1259	11339
100	1297	11552
101	1303	11477
102	1309	11403
103	1315	11332
104	1330	11338
105	1342	11319
106	1348	11252
107	1355	11197
108	1362	11136
109	1370	11084
110	1375	11018
111	1381	10953
112	1387	10891
113	1394	10836
114	1401	10787
115	1410	10747
116	1415	10685
117	1421	10625
118	1428	10579
119	1436	10531
120	1444	10493
121	1452	10453
122	1462	10425
123	1478	10447
124	1494	10462
125	1513	10501
126	1540	10588
127	1569	10690
128	1603	10829
129	1625	10878
130	1653	10971
131	1665	10952
132	1673	10906
133	1680	10863
134	1701	10903
135	1707	10848
136	1717	10816
137	1723	10766
138	1731	10724
139	1737	10673
140	1745	10632
141	1752	10586
142	1758	10539
143	1766	10501
144	1775	10467
145	1782	10425
146	1790	10387
147	1797	10345
148	1803	10298
149	1813	10275
150	1821	10243
151	1829	10208
152	1836	10164
153	1843	10126
154	1849	10085
155	1858	10055
156	1865	10016
157	1872	9976
158	1879	9941
159	1889	9919
160	1897	9889
161	1905	9855
162	1912	9821
163	1918	9782
164	1941	9823
165	1948	9788
166	1954	9747
167	1963	9723
168	1969	9685
169	1975	9645
170	1982	9608
171	1988	9571
172	1994	9533
173	2008	9532
174	2018	9515
175	2030	9507
176	2047	9519
177	2061	9518
178	2076	9523
179	2090	9524
180	2097	9493
181	2106	9466
182	2114	9439
183	2121	9408
184	2128	9374
185	2133	9337
186	2139	9300
187	2144	9263
188	2150	9229
189	2156	9194
190	2164	9167
191	2169	9130
192	2178	9109
193	2187	9086
194	2192	9052
195	2198	9019
196	2204	8987
197	2214	8970
198	2226	8961
199	2236	8945
200	2244	8923
201	2252	8896
202	2261	8879
203	2268	8852
204	2276	8829
205	2284	8806
206	2295	8793
207	2302	8765
208	2310	8743
209	2316	8716
210	2326	8698
211	2331	8667
212	2344	8660
213	2355	8651
214	2363	8629
215	2374	8619
216	2382	8597
217	2391	8576
218	2399	8555
219	2408	8538
220	2415	8513
221	2423	8491
222	2428	8462
223	2435	8438
224	2447	8429
225	2453	8403
226	2461	8381
227	2469	8360
228	2476	8338
229	2488	8331
230	2494	8304
231	2502	8283
232	2508	8257
233	2513	8228
234	2519	8202
235	2526	8180
236	2532	8153
237	2538	8126
238	2545	8106
239	2551	8080
240	2559	8060
241	2566	8037
242	2571	8010
243	2576	7983
244	2582	7959
245	2590	7940
246	2596	7915
247	2601	7889
248	2607	7864
249	2613	7841
250	2622	7824
251	2627	7799
252	2634	7777
253	2640	7754
254	2647	7735
255	2654	7713
256	2659	7690
257	2666	7667
258	2674	7650
259	2681	7632
260	2687	7608
261	2694	7589
262	2699	7564
263	2705	7541
264	2712	7524
265	2718	7501
266	2724	7479
267	2732	7462
268	2739	7445
269	2746	7424
270	2753	7407
271	2761	7389
272	2766	7366
273	2774	7350
274	2779	7328
275	2787	7311
276	2793	7290
277	2798	7268
278	2804	7246
279	2812	7231
280	2817	7210
281	2823	7188
282	2828	7167
283	2834	7145
284	2842	7131
285	2848	7111
286	2854	7090
287	2861	7074
288	2868	7056
289	2877	7043
290	2882	7023
291	2888	7004
292	2893	6983
293	2899	6962
294	2907	6947
295	2913	6928
296	2919	6909
297	2924	6889
298	2930	6869
299	2936	6850
